NOM,TYPE,GROUPE DE RESSOURCES,EMPLACEMENT,ABONNEMENT
"a6f222d76f6a4fb7b9fabfc6487fe1cb-privateNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"a6f222d76f6a4fb7b9fabfc6487fe1cb-publicIP","Adresse IP publique","ISWCDatabricksUAT","West Europe","CISAC"
"a6f222d76f6a4fb7b9fabfc6487fe1cb-publicNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"abcf07817fff485ea23c48b8da8b525f","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"abcf07817fff485ea23c48b8da8b525f-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"abcf07817fff485ea23c48b8da8b525f-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"abcf07817fff485ea23c48b8da8b525f-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"abcf07817fff485ea23c48b8da8b525f-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"abcf07817fff485ea23c48b8da8b525f-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"Application Insights Smart Detection","Groupe d’actions","ISWCUAT","Global","CISAC"
"bcd7b0b1ccae4831b0af0b7be0a0f165","Machine virtuelle","ISWCDatabricksDev","West Europe","CISAC"
"bcd7b0b1ccae4831b0af0b7be0a0f165-containerRootVolume","Disque","ISWCDATABRICKSDEV","West Europe","CISAC"
"bcd7b0b1ccae4831b0af0b7be0a0f165-osDisk","Disque","ISWCDATABRICKSDEV","West Europe","CISAC"
"bcd7b0b1ccae4831b0af0b7be0a0f165-privateNIC","Interface réseau","ISWCDatabricksDev","West Europe","CISAC"
"bcd7b0b1ccae4831b0af0b7be0a0f165-publicIP","Adresse IP publique","ISWCDatabricksDev","West Europe","CISAC"
"bcd7b0b1ccae4831b0af0b7be0a0f165-publicNIC","Interface réseau","ISWCDatabricksDev","West Europe","CISAC"
"c44d46f4811144fdb13edb6682be2307","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"c44d46f4811144fdb13edb6682be2307-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"c44d46f4811144fdb13edb6682be2307-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"c44d46f4811144fdb13edb6682be2307-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"c44d46f4811144fdb13edb6682be2307-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"c44d46f4811144fdb13edb6682be2307-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"cfa3955e7b364c85a18d70a30ab56bb2","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"cfa3955e7b364c85a18d70a30ab56bb2-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"cfa3955e7b364c85a18d70a30ab56bb2-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"cfa3955e7b364c85a18d70a30ab56bb2-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"cfa3955e7b364c85a18d70a30ab56bb2-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"cfa3955e7b364c85a18d70a30ab56bb2-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"CISACAzDSFTP","Machine virtuelle","ISWCDev","West Europe","CISAC"
"CISACAzDSFTP","Interface réseau","ISWCDev","West Europe","CISAC"
"CISACAzDSFTP","Groupe de sécurité réseau","ISWCDev","West Europe","CISAC"
"CISACAzDSFTP","Adresse IP publique","ISWCDev","West Europe","CISAC"
"CISACAzDSFTP-OS","Disque","ISWCDEV","West Europe","CISAC"
"CISACAzPSFTP","Machine virtuelle","ISWCProd","West Europe","CISAC"
"CISACAzPSFTP","Interface réseau","ISWCProd","West Europe","CISAC"
"CISACAzPSFTP","Groupe de sécurité réseau","ISWCProd","West Europe","CISAC"
"CISACAzPSFTP","Adresse IP publique","ISWCProd","West Europe","CISAC"
"CISACAzPSFTP-OS","Disque","ISWCPROD","West Europe","CISAC"
"CISACAzUSFTP","Machine virtuelle","ISWCUAT","West Europe","CISAC"
"CISACAzUSFTP","Interface réseau","ISWCUAT","West Europe","CISAC"
"CISACAzUSFTP","Groupe de sécurité réseau","ISWCUAT","West Europe","CISAC"
